iter	RMSE
0	0.4606331746
1	0.4500176069
2	0.4410009461
3	0.4333414676
4	0.4269824999
5	0.4213652129
6	0.4166907852
7	0.4128166759
8	0.409156019
9	0.406206915
10	0.4035187819
11	0.4011692805
12	0.3992118106
13	0.3975589039
14	0.3961411053
15	0.3949760311
16	0.3940303419
17	0.3932193788
18	0.3925017436
19	0.3919291176
20	0.3914249137
21	0.3907668949
22	0.3903420024
23	0.3898928891
24	0.3896147367
25	0.3893545999
26	0.3888897134
27	0.3886289783
28	0.3882371575
29	0.3880900604
30	0.3877641795
31	0.387546421
32	0.3872386583
33	0.3869665147
34	0.386723018
35	0.3864972263
36	0.3863054702
37	0.386173715
38	0.3860158144
39	0.3859112617
40	0.3857719054
41	0.3856651922
42	0.3855404078
43	0.385420623
44	0.3852461379
45	0.3851465048
46	0.3849399957
47	0.3848354777
48	0.3847787747
49	0.3846497596
50	0.384581863
51	0.3844669129
52	0.3843053849
53	0.3842436608
54	0.3841592006
55	0.3840861334
56	0.384039949
57	0.3839252827
58	0.3838600255
59	0.3837823312
60	0.3837097951
61	0.3836291798
62	0.3835742633
63	0.3835181931
64	0.3834278217
65	0.3833729578
66	0.3833049279
67	0.3832468615
68	0.3831876013
69	0.3831079181
70	0.3830315196
71	0.3829754886
72	0.3829148658
73	0.3828710394
74	0.3828297797
75	0.3827656671
76	0.3827241806
77	0.3826854077
78	0.382636567
79	0.3826132523
80	0.3825673111
81	0.3824915696
82	0.3824503054
83	0.3824160782
84	0.3823795295
85	0.3823298487
86	0.3822882262
87	0.3822604414
88	0.3822062139
89	0.3821651609
90	0.382099795
91	0.3820585635
92	0.3820229303
93	0.3819856976
94	0.3819568055
95	0.3819208022
96	0.3818777729
97	0.3818511816
98	0.3817985312
99	0.3817613813
100	0.3817176148
101	0.3816949396
102	0.3816417368
103	0.3815964993
104	0.3815772021
105	0.3815390718
106	0.3815102975
107	0.3814836801
108	0.3814479233
109	0.3814205891
110	0.3814005678
111	0.3813697342
112	0.3813488998
113	0.3813125521
114	0.3812964127
115	0.3812626134
116	0.3812429796
117	0.3811803727
118	0.3811461645
119	0.3811126184
120	0.3810925474
121	0.3810674245
122	0.3810383654
123	0.3810031853
124	0.3809855429
125	0.3809642167
126	0.3809423906
127	0.3809312896
128	0.3809024768
129	0.380870133
130	0.3808418417
131	0.3808175639
132	0.3807925595
133	0.3807718268
134	0.380751025
135	0.3807210063
136	0.380699853
137	0.3806812918
138	0.3806530283
139	0.3806186362
140	0.3805978722
141	0.3805810463
142	0.3805526611
143	0.3805321265
144	0.3805115642
145	0.3804951958
146	0.3804616673
147	0.3804296662
148	0.380397904
149	0.3803788093
150	0.3803455352
151	0.3803199015
152	0.3802908733
153	0.3802612272
154	0.3802468447
155	0.3802300605
156	0.3802043629
157	0.3801801908
158	0.3801627908
159	0.380124994
160	0.3801023227
161	0.3800884036
162	0.3800625444
163	0.3800329873
164	0.3800154511
165	0.3799871897
166	0.3799641936
167	0.3799423047
168	0.3799082893
169	0.3798858517
170	0.3798706255
171	0.3798584539
172	0.3798403094
173	0.3798280267
174	0.3798085927
175	0.3797765208
176	0.3797577923
177	0.3797429994
178	0.3797308225
179	0.3797126932
180	0.3797038917
181	0.3796911097
182	0.3796720438
183	0.3796479239
184	0.379622
185	0.3796043964
186	0.3795977927
187	0.3795560293
188	0.3795395238
189	0.3795063563
190	0.3794953206
191	0.3794844623
192	0.3794699187
193	0.3794418428
194	0.3794283316
195	0.3794177572
196	0.3793917736
197	0.3793841788
198	0.3793581973
199	0.3793524285
200	0.379336635
201	0.3793090842
202	0.3792964464
203	0.3792824117
204	0.3792693978
205	0.3792579291
206	0.3792438076
207	0.3792081108
208	0.3791895304
209	0.3791757383
