iter	Passed	Remaining
0	1540	768614
1	2110	525446
2	2699	447137
3	4079	505901
4	4597	455121
5	5323	438307
6	6779	477480
7	7437	457384
8	8166	445505
9	8826	432510
10	9527	423545
11	10461	425446
12	10947	410105
13	11756	408109
14	12991	420057
15	13783	416949
16	14590	414551
17	15794	422948
18	17174	434796
19	17755	426129
20	18279	416950
21	19052	413959
22	20135	417600
23	21423	424891
24	21907	416249
25	23114	421398
26	23856	417931
27	24812	418261
28	26058	423224
29	27197	426100
30	28109	425266
31	29145	426250
32	30429	430618
33	30939	424051
34	32028	425519
35	32848	423377
36	33340	417203
37	34036	413818
38	35072	414580
39	36100	415153
40	36636	410148
41	37382	407642
42	38238	406395
43	39136	405592
44	40285	407326
45	40929	403953
46	42160	406359
47	42993	404859
48	44108	405978
49	45240	407165
50	46209	406822
51	47464	408925
52	48738	411061
53	49962	412653
54	51065	413168
55	52375	415260
56	53442	415349
57	54817	417745
58	56118	419460
59	56822	416697
60	57802	415985
61	59031	417029
62	60076	416722
63	61216	417038
64	62291	416876
65	63649	418543
66	64384	416096
67	65295	414817
68	66306	414173
69	67409	414084
70	68014	410963
71	68448	406886
72	69879	408748
73	70854	407889
74	71944	407688
75	72581	404926
76	73347	402937
77	74110	400957
78	75380	401711
79	76676	402550
80	77948	403214
81	79156	403503
82	80134	402602
83	80762	399968
84	81884	399789
85	83283	400921
86	84393	400624
87	85717	401314
88	87255	402941
89	87886	400373
90	88707	398694
91	89971	399003
92	91256	399371
93	92035	397515
94	93864	400157
95	95001	399797
96	95756	397832
97	97201	398725
98	98790	400150
99	100108	400434
100	101006	399026
101	101577	396351
102	103009	397036
103	103630	394594
104	104443	392906
105	105944	393795
106	107138	393507
107	108222	392806
108	109779	393796
109	110857	393040
110	112000	392507
111	113289	392467
112	114223	391191
113	115589	391382
114	116299	389350
115	117272	388213
116	118283	387203
117	120029	388571
118	121506	389026
119	122421	387667
120	123349	386357
121	124871	386896
122	125920	385952
123	127805	387538
124	128924	386772
125	130643	387784
126	131712	386839
127	132634	385468
128	133929	385177
129	135111	384546
130	136066	383271
131	137150	382360
132	138471	382097
133	140167	382845
134	141763	383286
135	143145	383124
136	144531	382956
137	145797	382454
138	147110	382064
139	148424	381661
140	149498	380639
141	150552	379562
142	152272	380149
143	153514	379522
144	154443	378120
145	155339	376644
146	156795	376522
147	158150	376142
148	159463	375649
149	160695	374956
150	161551	373386
151	163121	373462
152	164013	371979
153	165225	371221
154	166601	370822
155	167397	369132
156	168293	367674
157	169209	366263
158	170287	365207
159	171294	364001
160	172389	362982
161	173261	361496
162	174041	359828
163	174944	358421
164	175612	356546
165	177011	356156
166	178251	355435
167	179513	354752
168	180418	353363
169	181704	352720
170	182582	351284
171	183881	350658
172	184842	349384
173	185868	348236
174	186826	346963
175	188019	346126
176	189719	346211
177	191069	345641
178	192423	345071
179	194184	345216
180	195298	344200
181	196513	343359
182	197417	341974
183	198323	340598
184	199890	340354
185	200800	338985
186	202072	338227
187	203117	337088
188	203962	335620
189	205505	335298
190	206443	333984
191	207694	333175
192	208905	332300
193	210627	332226
194	211756	331209
195	212998	330365
196	214225	329493
197	215539	328752
198	216634	327673
199	217629	326443
200	219237	326129
201	220826	325774
202	222135	324996
203	222997	323565
204	224018	322367
205	225546	321895
206	226938	321221
207	227687	319638
208	228898	318706
209	230201	317896
